Date,TowerID,Place,Region,Description of change,Source,Route
2021-10-31,10197,"Tong, S Bartholomew",Shropshire,Bourdon: hanging added,Dickon Love,
2021-10-30,16770,"Abilene, The Heavenly Rest","Texas, United States of America",Carillon bells not part of the ring noted as hung dead,,
2021-10-30,15743,"Ashford, S Mary V",Kent,4b: hung dead,Mark Chittenden-Pile (Tower Capt),
2021-10-30,16271,"Buckworth, All Saints",Cambridgeshire,"Of the formerly full circle ring of 5, the back 4 are unhung and the treble hung for swing chiming",Dove notes,
2021-10-30,17771,"Hulme, S Philip",Greater Manchester,"2,4-8 scrapped. 3rd went to Farnsfield. In 1973.",John Taylor archives,
2021-10-30,17699,"Middle Claydon, All Saints",Buckinghamshire,Hung for swing chiming,Tim Jackson,
2021-10-30,17504,"Peper Harow, S Nicholas",Surrey,"Church gutted by fire, which destroyed the bells in 2007",,
2021-10-30,17742,"Preston, S Mark",Lancashire,Bells scrapped in 1984,David Cawley & Chris Dalton,
2021-10-30,11219,"Theddlethorpe All Saints, All Saints",Lincolnshire,4: hung dead,Dove notes,
2021-10-29,16119,"Beeley, S Anne",Derbyshire,1-2: nominals added; tuning amended; overhaul date amended,Chris Pickford from the Taylors archive,
2021-10-29,16354,"Bristol, The Mount Without",City of Bristol,Ringing has resumed - all ringing is currently by arrangement (a regular practice has yet to be established).,"David Threlfall, tower correspondent",
2021-10-29,13008,"Brome, S Mary",Suffolk,Overhaul added,Neal Dodge quoting contemporary newspaper cutting,
2021-10-29,12903,"Calstock, S Andrew",Cornwall,New service bell added,"Sue McClaughry, local contact; additional information from Dave Kelly, Keltek Trust",
2021-10-29,12903,"Calstock, S Andrew",Cornwall,No longer holds a regular practice; now ‘variable’,"Sue McClaughry, local contact",
2021-10-29,13737,"Edinburgh, Cath Ch of S Mary","City of Edinburgh, Scotland",1-12: bell names added,"Mark Hutcheson, steeple keeper",
2021-10-29,16582,"Keynsham, S John Bapt",Somerset,GBDA affiliation removed,Recent tower AGM,Martin Pearson (recently retired Tower Captain at Keynsham)
2021-10-29,13402,"Liverpool, Cath Ch of Christ",Merseyside,Bourdon: hanging type added,Andrew Instone-Cowie,Email
2021-10-29,12330,"Northchapel, S Michael & All Angels",West Sussex,2-5: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-29,15782,"St Albans, Cath & Abbey Ch of S Alban",Hertfordshire,"1-12,2#: bell names added",Euan Thomas,Email
2021-10-28,13519,"Hurstbourne Priors, S Andrew",Hampshire,1-8: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-28,13009,"Thorp Arch, All Saints",West Yorkshire,Ellacombe added,John Arthur (site visit 2005),
2021-10-27,10618,"Beverley, S Mary",East Riding of Yorkshire,2 bell fragments noted (as they are listed for preservation),,
2021-10-27,16376,"East Claydon, S Mary",Buckinghamshire,1: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-27,14693,"Little Horwood, S Nicholas",Buckinghamshire,"1-2: new bells added; 3-6: weight, diameter, nominal, turning amended; 3,5-6: canons amended",WOA data,Mark Walker
2021-10-27,14693,"Little Horwood, S Nicholas",Buckinghamshire,Restoration work complete,Graham Clifton,
2021-10-27,17160,"Little Oakley, S Mary",Essex,Bells reported stolen in 1969,David L Cawley,
2021-10-27,17312,"Luffincott, S James",Devon,"Removed in the 1950s, 1 & 2 scrapped, 3rd at Telcott.",,
2021-10-27,14253,"Rotherfield, S Denys",East Sussex,Ellacombe added,Luca Greenslade,
2021-10-25,11528,"Bicester, S Edburg",Oxfordshire,1-2: nominal added; 1-2: diameter amended,Nigel Taylor's personal tuning records,David Sloman
2021-10-25,13402,"Liverpool, Cath Ch of Christ",Merseyside,1-12: bell names added,"""The Book of Liverpool Cathedral"", Vere E Cotton 1964",Andrew Instone-Cowie
2021-10-25,11914,"London, S Dunstan-in-the-West",City of London,1-10: bell names added,Dickon Love,
2021-10-25,13189,"London, S Magnus the Martyr, London Bridge",City of London,1-12: bell names added,"Dickon Love, Tower Keeper",
2021-10-25,10588,"London, S Mary le Bow, Cheapside",City of London,1-12: bell names added,Dickon Love,
2021-10-25,12719,"Towcester, S Lawrence",Northamptonshire,Chime rung with keyboard and electronic controls,Mike Chester's list of chimes,
2021-10-24,15520,"Bournemouth, S John Ev, Surrey Road",Dorset,PN time amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,10479,"Cranborne, S Mary & S Bartholomew",Dorset,PN amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,16972,"Easebourne, S Mary",West Sussex,"7: founder, approximate cast date amended","On the bell details in the tower, it says ""John White, Reading"" 1530c. Also Elphick (p69-71)",Luca Greenslade
2021-10-24,15275,"Fontmell Magna, S Andrew",Dorset,PN deleted - no practice,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,15508,"Grappenhall, S Wilfrid",Cheshire,Toilet added,"Nick Thomson, Ringing master",
2021-10-24,15843,"Gussage St Michael, S Michael",Dorset,PN deleted - no regular practice,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,13679,"Isleworth, All Saints",Greater London,3-10: nominal added; 3-10: diameter amended,"JT records, 1903 (diameters amended to foundry values, nominals added)",Chris Pickford
2021-10-24,14840,"Kingston, S James",Dorset,PN deleted - no regular practice,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,14010,"Lytchett Matravers, S Mary V",Dorset,PN time amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,15544,"Lytchett Minster, dedication unknown",Dorset,PN date and time amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,16539,"Morden (Morden East), S Mary",Dorset,PN added,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,12181,"Nunnington, All Saints",North Yorkshire,"New project added (dismantled and rehung ""dead"" with electromagnetic hammers. 2nd welded.)",John Arthur,
2021-10-24,11490,"Oakdale, S George",Dorset,PN date and time amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,14368,"Okeford Fitzpaine, S Andrew",Dorset,PN date and time amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,15872,"Pilton, S John Bapt",Somerset,1-2: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-24,11455,"Pimperne, S Peter",Dorset,PN deleted - no regular practice,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,10953,"Shapwick, S Bartholomew",Dorset,PN date and time amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,10233,"Shillingstone, Holy Rood",Dorset,PN date amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,16820,"Stourpaine, Holy Trinity",Dorset,PN deleted - no regular practice,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,15231,"Tarrant Keyneston, All Saints",Dorset,PN added,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,13747,"Tollard Royal, S Peter ad Vincula",Wiltshire,PN added,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,13975,"Wimborne St Giles, S Giles",Dorset,PN amended,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,11463,"Winterborne Kingston, S Nicholas",Dorset,PN added,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,10939,"Winterborne Stickland, S Mary",Dorset,PN added,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-24,14468,"Witchampton, S Mary & S Cuthberga & All Saints",Dorset,PN deleted - no regular practice,"Jack Pease, Branch Ringing Master, and the 2021-2022 SDGR handbook",
2021-10-20,14716,"Shipley, S Mary V",West Sussex,1-5: nominal added,"Recordings of each bell being rung, analyzed through wavanal",Luca Greenslade
2021-10-19,12384,"Leyton, S Mary V",Greater London,PN deleted - no practice,Stephen Jakeman,
2021-10-17,10107,"Itchingfield, S Nicolas",West Sussex,1-5: nominal added,Swing chiming recordings analyzed in Wavanal,Luca Greenslade
2021-10-16,15259,"Berrington, All Saints",Shropshire,1-8: nominal added,Analysis using Wavanal,Nick Green
2021-10-14,15032,"Bledington, S Leonard",Gloucestershire,1-6: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-14,11252,"Heydour, S Michael & All Angels",Lincolnshire,"Sanctus: canons, turning, hanging type, frame number added.",Christopher Woodcock,
2021-10-14,15075,"Leadenham, S Swithin",Lincolnshire,1-6: turning added,Christopher Woodcock (doing some maintenance work on the bells),
2021-10-14,14340,"Slapton, Holy Cross",Buckinghamshire,"New project noted: Restoration work, augmentation and rehanging",Slapton ringer,Simon Davies
2021-10-13,11133,"Orwell, S Andrew",Cambridgeshire,1: weight amended,Nigel Taylor's personal tuning records,David Sloman
2021-10-13,17775,"Perth, S John Kirk","Perth and Kinross, Scotland",1-34: canons added; 1-35: turning added,JTc,Paul Mason
2021-10-13,10141,"Swerford, S Mary",Oxfordshire,4: weight amended; 1-6: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-11,14007,"Alnwick, S Michael",Northumberland,"1-10: frame number added; 5-10, D1, D2: canons added",Tim Jackson (visit 29/9/21),
2021-10-11,16119,"Beeley, S Anne",Derbyshire,1-3: cast dates amended,George Dawson (CB Derbys and subsequent email conversation),Tim Jackson
2021-10-11,16571,"Bury, Holy Cross",Cambridgeshire,New project added,Geoff Burn (HBRS),Tim Jackson
2021-10-11,16316,"Buxhall, S Mary",Suffolk,J Taylor project under way,David Potter,
2021-10-11,16440,"Chicago, S Paul, Riverside","Illinois, United States of America",URL amended,Bruce Butler (NAGCR),
2021-10-11,17051,"Collaton, S Mary V",Devon,Project completed,David Potter,
2021-10-11,10897,"Darton, All Saints",South Yorkshire,1-6: nominal added; diameter amended,Nigel Taylor's personal tuning records,David Sloman
2021-10-11,13625,"Dunstall, S Mary",Staffordshire,"Overhaul added; 1-3: canons, frame number added",Stuart Hutchieson,Tim Jackson
2021-10-11,14965,"Edensor, S Peter",Derbyshire,1982 overhaul added,George Dawson (CB Derbys and subsequent email conversation),Tim Jackson
2021-10-11,16656,"Etwall, S Helen",Derbyshire,1-3: canons amended,George Dawson (Diocese of Derby NBR),Tim Jackson
2021-10-11,16070,"Freeby, S Mary",Leicestershire,1-3: turning amended,Lewis Benfield (personal visit),
2021-10-11,13343,"Haughton, S Giles",Staffordshire,1-6: nominal added; 1-6: diameter amended,Nigel Taylor's personal tuning records,David Sloman
2021-10-11,12556,"Hawton, All Saints",Nottinghamshire,Taylors part of project completed,David Potter,
2021-10-11,13401,"Leven, Holy Trinity",East Riding of Yorkshire,Key amended,Based on recent nominal confirmations,
2021-10-11,10783,"Linton, S Mary",Cambridgeshire,Tuning year added,Whites board in the tower,Jason Burnet
2021-10-11,14615,,,New project added,George Dawson,
2021-10-11,12219,"South Shields, S Hilda",Tyne and Wear,"1-8: nominal, canons added; 1-8: diameter, notes amended",Nigel Taylor's personal tuning records,David Sloman
2021-10-11,13653,"Stokesay, S John Bapt",Shropshire,1-6: nominal added,Analysis using Wavanal,Nick Green
2021-10-11,11224,"Wing, All Saints",Buckinghamshire,Tuning year deleted - bells were not tuned in 1992,Nigel Taylor,
2021-10-11,12394,"Wisborough Green, S Peter ad Vincula",West Sussex,Toilet added,Luca Greenslade,
2021-10-07,11960,"Milton Abbot, S Constantine",Devon,"1-6: weight, nominal, turning amended",JTc after tuning,Paul Mason
2021-10-07,13489,"Ridge, S Margaret",Hertfordshire,1-6: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-06,13421,"Codicote, S Giles",Hertfordshire,1-2: nominal added,Nigel Taylor's personal tuning records,David Sloman
2021-10-06,17015,"Woodford, S Mary V",Northamptonshire,2: frame number amended,Paul Mason,
2021-10-05,12235,"Bubwith, All Saints",East Riding of Yorkshire,Project started (bells have been lowered from the tower),John Arthur,
2021-10-05,12769,"Colwall, S James Gt",Herefordshire,3-4: weight amended; 10: nominal amended; 1-9: nominal added; 2-3: diameter amended,Nigel Taylor's personal tuning records,David Sloman
2021-10-05,13401,"Leven, Holy Trinity",East Riding of Yorkshire,"1-4: nominal, turning added",Site visit 5/10/2021,John Arthur
2021-10-04,15627,"Bicton, Holy Trinity",Shropshire,1-5: weight approx added,Approx. bell weights from 'The Church Bells of Shropshire' (H B Walters; 1915),Nick Green
2021-10-04,13915,"Black Notley, S Peter & S Paul",Essex,1-5: nominal added; diameter amended,Nigel Taylor's personal tuning records,David Sloman
2021-10-04,13232,"Liskeard, S Martin",Cornwall,1-8: nominal added; diameter amended,Nigel Taylor's personal tuning records,David Sloman
2021-10-04,11832,"Shanklin, S Saviour on the Cliff",Isle of Wight,8: nominal amended; 1-7: nominal added,Recorded by Kieran Downer and analysed by Nick Bowden,
2021-10-04,15862,"Stretton on Dunsmore, All Saints",Warwickshire,PN added,Nicholas Brett,
2021-10-03,17585,"Chatham, Victoria Tower",Kent,"Historical amendment regarding the former ring of 8, which were transferred to Gorran in 2013.",Dickon Love,
2021-10-03,17399,"Cork, former ch of S Nicholas","Cork, Republic of Ireland",Historical amendment regarding the former ring.,Dickon Love,
2021-10-02,17559,"Ayr, S Columba","South Ayrshire, Scotland",Listing scheme added; postcode amended,"Listed building data, downloaded 12/Sep/2021",Tim Jackson
2021-10-02,10524,"Baylham, S Peter",Suffolk,URL amended,Tim Jackson,
2021-10-02,13441,"Beaconsfield, S Mary & All Saints",Buckinghamshire,URL amended,Tim Pett,
2021-10-02,10562,"Brampton, S Peter",Suffolk,URL amended,Tim Jackson,
2021-10-02,10208,"Burgate, S Mary",Suffolk,URL amended,Tim Jackson,
2021-10-02,17507,"Cardiff, S Stephen, Butetown","Cardiff, South Glamorgan, Wales",Additional/corrected attributes added,Tim Jackson,
2021-10-02,17585,"Chatham, Victoria Tower",Kent,"Post code, Lat/Long amended",Tim Jackson,
2021-10-02,17336,"Cork, S Anne, Shandon","Cork, Republic of Ireland","Listing scheme, postcode, lat/long added",Tim Jackson,
2021-10-02,17399,"Cork, former ch of S Nicholas","Cork, Republic of Ireland",Postcode added; lat/long amended,Tim Jackson,
2021-10-02,17399,"Cork, former ch of S Nicholas","Cork, Republic of Ireland",Listing added,https://www.buildingsofireland.ie/,Tim Jackson
2021-10-02,17439,"Dublin, S George","Dublin, Republic of Ireland",Post code added; Lat/Long amended,Tim Jackson,
2021-10-02,17439,"Dublin, S George","Dublin, Republic of Ireland",Listing added,https://www.buildingsofireland.ie/,Tim Jackson
2021-10-02,17709,"Dundee, Our Immaculate Lady of Victories (RC)","City of Dundee, Scotland","Post code, Lat/Long added",Tim Jackson,
2021-10-02,17709,"Dundee, Our Immaculate Lady of Victories (RC)","City of Dundee, Scotland",Listing added,"Listed building data, downloaded 12/Sep/2021",Tim Jackson
2021-10-02,11697,"Easingwold, S John Bapt & All Saints",North Yorkshire,SatNav destination added (location of the church car park),Samuel Austin (personal visit),
2021-10-02,17683,"Edinburgh, S James Less, Leith","City of Edinburgh, Scotland","Post code, Lat/Long added",Tim Jackson,
2021-10-02,17683,"Edinburgh, S James Less, Leith","City of Edinburgh, Scotland",Listing added,"Listed building data, downloaded 12/Sep/2021",Tim Jackson
2021-10-02,15341,"Ewhurst, S Peter & S Paul",Surrey,URL amended,Tim Jackson,
2021-10-02,17452,"Expo Belfry, Mobile Ring",,Dedication added,Tim Jackson,
2021-10-02,15442,"Frinsted, S Dunstan",Kent,"1-6: nominal added, notes amended; 2-6: diameter amended; 1: diameter added",Nigel Taylor's personal tuning records,David Sloman
2021-10-02,17512,"Hawkesbury, S Mary",Gloucestershire,1-8: bell names added,Dedication service 10/Sep/2021; names listed in service booklet,Tim Jackson
2021-10-02,17262,"Hopesay, S Mary",Shropshire,Listed building ID amended,"Listed building data, downloaded 12/Sep/2021",Tim Jackson
2021-10-02,17262,"Hopesay, S Mary",Shropshire,Lat/Long amended,Tim Jackson,
2021-10-02,17627,"Hughley, S John Bapt",Shropshire,Listed building ID amended,"Listed building data, downloaded 12/Sep/2021",Tim Jackson
2021-10-02,17627,"Hughley, S John Bapt",Shropshire,Longitude amended,Tim Jackson,
